"2","427","Tue Jun 02 03:32:14 UTC 2009","dentist","BChasnov","Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?"
"0","428","Tue Jun 02 03:32:33 UTC 2009","dentist","LILJIZZEL","THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
"0","429","Tue Jun 02 03:32:45 UTC 2009","dentist","giz2000","@kirstiealley my dentist is great but she's expensive...=("
"2","430","Tue Jun 02 03:33:30 UTC 2009","dentist","cmonaussiecmon","@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml"
"4","431","Tue Jun 02 03:33:53 UTC 2009","dentist","sorayabouby","is studing math ;) tomorrow exam and dentist :)"
"0","432","Tue Jun 02 03:34:27 UTC 2009","dentist","jeffreymodest","my dentist was wrong... WRONG"
"0","433","Tue Jun 02 03:34:39 UTC 2009","dentist","yowneh","Going to the dentist later.:|"
"0","434","Tue Jun 02 03:34:58 UTC 2009","dentist","CWilliams_Rltr","Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?"
"2","435","Tue Jun 02 04:29:16 UTC 2009","baseball","SimpleManJess","NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx"
"2","436","Tue Jun 02 04:29:26 UTC 2009","baseball","H3LLGWAR","just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR"
"2","437","Tue Jun 02 04:29:30 UTC 2009","baseball","LouisvilleGrads","Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday."
"2","438","Tue Jun 02 04:39:24 UTC 2009","sony","SwainFamily","Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796"
"2","439","Tue Jun 02 04:39:49 UTC 2009","safeway","neeeelia","waiting in line at safeway."
"0","440","Tue Jun 02 04:39:59 UTC 2009","safeway","ryanlipert","luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?"
"2","441","Tue Jun 02 04:41:03 UTC 2009","safeway","evan","Did not realize there is a gym above Safeway!"
"2","442","Tue Jun 02 04:41:07 UTC 2009","safeway","ronjon","@XPhile1908 I have three words for you: ""Safeway dot com"""
"4","443","Tue Jun 02 04:41:19 UTC 2009","safeway","missleigh","Safeway is very rock n roll tonight"
"2","444","Tue Jun 02 04:41:36 UTC 2009","safeway","SharkKMV","Bout to hit safeway I gotta eat"
"2","445","Tue Jun 02 04:41:48 UTC 2009","safeway","bosZmom","Jake's going to safeway!"
"2","446","Tue Jun 02 04:41:58 UTC 2009","safeway","penlynwilson","Found a safeway. Picking up a few staples."
"2","447","Tue Jun 02 04:42:28 UTC 2009","safeway","mobileadgirl","Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w"
"0","448","Tue Jun 02 04:42:34 UTC 2009","safeway","phantomzangel","The safeway bathroom still smells like ass!"
"0","449","Tue Jun 02 04:42:46 UTC 2009","safeway","BreezB","At safeway on elkhorn, they move like they're dead!"
"2","451","Tue Jun 02 06:53:03 UTC 2009","eating","nonstopdiets","Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O"
"2","452","Tue Jun 02 06:53:11 UTC 2009","eating","janelleshanks","Is Eating and Watching Movies...."
"2","456","Tue Jun 02 06:53:27 UTC 2009","eating","hanaho","eating sashimi"
"2","457","Tue Jun 02 06:53:37 UTC 2009","eating","Fiel","is eating  home made yema"
"2","458","Tue Jun 02 06:54:16 UTC 2009","eating","aaindefenzo","eating cake"
"4","531","Thu Jun 04 16:49:55 UTC 2009","nike","CrownRoyal8","i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol."
"0","532","Thu Jun 04 16:52:36 UTC 2009","nike","MrGQ","Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic"
"2","533","Thu Jun 04 16:53:09 UTC 2009","nike","ngngfrancis","iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc"
"4","534","Thu Jun 04 16:54:23 UTC 2009","nike","mikelongden","is lovin his Nike  already and that's only from running on the spot in his bedroom"
